id,age,gender,height,weight,gym_frequency,workout_intensity,protein_intake,sleep_hours,training_experience,initial_muscle_mass,final_muscle_mass,body_fat_percentage,supplement_use,workout_type,diet_type,hydration_level,stress_level,session_duration,recovery_rate
66,21.0,F,,81.5,3.0,4.0,,6.0,Beginner,24.5,28.9,15.5,Creatine,Strength,Omnivore,2.1,3.0,31.0,medium
67,46.0,M,,80.0,3.0,6.0,153.0,9.0,Experienced,24.6,25.8,,Protein,Mixed,Omnivore,1.6,9.0,76.0,slow
68,,,152.9,49.7,1.0,9.0,90.0,,Intermediate,21.4,23.8,26.8,None,Cardio,Vegetarian,,2.0,44.0,medium
69,43.0,,177.6,84.4,6.0,5.0,153.0,6.0,Experienced,27.4,28.2,15.8,,Cardio,Vegetarian,3.6,,48.0,fast
70,61.0,F,170.1,69.9,3.0,6.0,139.0,9.0,Intermediate,26.0,28.5,17.2,Creatine,Cardio,Vegan,3.4,1.0,46.0,medium
71,51.0,F,157.4,70.1,3.0,6.0,133.0,6.0,Intermediate,24.7,26.4,23.5,Protein,Mixed,Vegan,2.8,2.0,63.0,fast
72,27.0,M,184.4,78.8,7.0,8.0,,9.0,Beginner,,36.7,17.6,None,Cardio,Omnivore,,2.0,65.0,slow
73,53.0,M,176.2,98.0,5.0,,198.0,7.0,Intermediate,35.5,37.1,15.8,None,Strength,Omnivore,2.8,4.0,57.0,medium
74,31.0,M,185.4,77.1,4.0,9.0,167.0,7.0,,29.5,33.1,15.2,None,Cardio,Omnivore,2.3,9.0,71.0,fast
75,48.0,M,179.0,92.2,,5.0,173.0,8.0,Beginner,30.8,34.3,13.1,,Cardio,,3.3,8.0,81.0,medium
76,65.0,M,,78.1,3.0,,144.0,6.0,Experienced,31.2,32.7,,None,Cardio,Vegan,2.0,5.0,53.0,medium
77,32.0,F,172.1,56.9,6.0,4.0,,6.0,Beginner,24.5,28.9,27.1,None,Cardio,Omnivore,3.4,9.0,,
78,25.0,F,168.4,,2.0,5.0,147.0,6.0,Experienced,31.9,32.8,23.5,None,Mixed,Vegetarian,4.0,7.0,61.0,
79,31.0,F,152.4,55.9,6.0,6.0,116.0,8.0,Experienced,,19.5,19.7,,Strength,Omnivore,3.7,8.0,80.0,
80,40.0,F,152.0,55.1,3.0,4.0,111.0,9.0,Intermediate,17.8,20.2,25.8,Protein,Strength,Omnivore,2.5,6.0,41.0,medium
81,57.0,M,172.2,85.7,7.0,4.0,167.0,9.0,Intermediate,28.8,31.2,11.4,,Mixed,Omnivore,3.0,,72.0,medium
82,38.0,F,162.9,59.6,,,114.0,9.0,Beginner,,26.0,20.0,Protein,Strength,Omnivore,,,69.0,slow
83,33.0,,158.3,65.3,2.0,5.0,120.0,8.0,Intermediate,20.5,22.8,28.9,None,Mixed,,2.4,10.0,53.0,slow
84,62.0,F,169.5,56.2,2.0,1.0,103.0,8.0,Experienced,23.8,24.6,27.9,None,Strength,Omnivore,2.2,,55.0,slow
85,35.0,F,155.9,64.6,2.0,10.0,128.0,,Beginner,21.9,,,Creatine,Strength,Keto,,1.0,76.0,medium
86,64.0,F,171.1,73.1,7.0,7.0,140.0,7.0,Intermediate,,28.9,21.5,Creatine,Strength,Omnivore,,10.0,69.0,slow
87,41.0,F,173.2,71.5,1.0,9.0,145.0,7.0,Intermediate,23.9,25.9,19.1,None,Strength,Keto,3.6,9.0,,medium
88,,M,165.0,59.7,3.0,8.0,124.0,6.0,Beginner,20.2,24.6,25.0,None,Cardio,Omnivore,3.6,8.0,,fast
89,42.0,M,186.0,83.6,6.0,9.0,172.0,7.0,Intermediate,25.5,27.1,22.3,Protein,Strength,Keto,,3.0,90.0,fast
90,62.0,F,178.8,68.9,,4.0,148.0,6.0,Beginner,25.2,28.9,23.5,None,Cardio,Omnivore,2.3,9.0,79.0,medium
91,,,155.8,50.5,1.0,6.0,106.0,7.0,Intermediate,21.8,23.7,29.5,,Strength,Omnivore,2.5,9.0,56.0,slow
92,46.0,F,177.3,92.6,2.0,1.0,181.0,7.0,Intermediate,31.0,33.2,,Protein,Mixed,Keto,3.0,4.0,36.0,fast
93,32.0,F,168.2,82.0,5.0,6.0,159.0,6.0,Beginner,,30.9,29.1,Creatine,Mixed,Keto,2.3,10.0,33.0,medium
94,62.0,F,167.7,69.1,4.0,8.0,126.0,9.0,Intermediate,25.2,26.7,25.9,Protein,Strength,Omnivore,2.6,6.0,46.0,medium
95,18.0,M,,60.7,3.0,7.0,123.0,8.0,Beginner,,33.7,11.1,,Cardio,Omnivore,2.0,,42.0,
96,42.0,M,189.9,121.4,3.0,1.0,251.0,7.0,Experienced,45.0,45.5,11.6,None,Mixed,,3.9,3.0,30.0,medium
97,,F,164.3,72.9,1.0,4.0,141.0,7.0,Experienced,,,,None,,,,2.0,90.0,fast
98,26.0,M,188.8,73.4,2.0,2.0,157.0,9.0,Experienced,35.1,35.8,10.4,,Strength,Vegetarian,2.2,4.0,81.0,medium
99,41.0,,174.3,72.6,2.0,4.0,141.0,9.0,Intermediate,26.7,28.4,16.0,None,Cardio,,2.4,6.0,74.0,fast
100,18.0,F,165.7,69.4,6.0,10.0,135.0,,Experienced,27.3,27.8,23.6,Creatine,Mixed,Vegan,3.3,1.0,72.0,fast
101,61.0,M,,,1.0,8.0,118.0,6.0,Intermediate,21.3,23.8,21.6,None,Cardio,Vegetarian,3.7,4.0,71.0,medium
102,25.0,M,165.7,57.0,7.0,3.0,105.0,8.0,Experienced,22.8,24.1,,Protein,Strength,Vegan,2.5,,,fast
103,41.0,M,166.4,,6.0,2.0,164.0,8.0,Intermediate,31.8,33.6,13.9,Creatine,Cardio,Omnivore,3.1,7.0,84.0,fast
104,28.0,M,194.7,75.9,7.0,3.0,151.0,,Experienced,28.9,29.7,19.1,None,Cardio,Vegetarian,3.7,5.0,70.0,medium
105,34.0,F,153.7,43.9,3.0,,96.0,9.0,Experienced,19.1,20.2,21.4,None,Cardio,,3.4,6.0,88.0,
106,25.0,M,175.4,69.2,1.0,2.0,140.0,6.0,Experienced,29.1,29.9,22.5,Creatine,Strength,Omnivore,3.0,,49.0,
107,52.0,M,173.4,,4.0,1.0,217.0,,Intermediate,48.7,50.9,,None,Strength,Omnivore,,8.0,82.0,medium
108,52.0,M,,119.3,7.0,3.0,243.0,9.0,Intermediate,40.9,43.4,11.7,Protein,Mixed,Vegetarian,3.1,9.0,64.0,fast
109,50.0,F,164.3,63.2,7.0,5.0,130.0,8.0,Beginner,19.2,23.7,29.1,Creatine,Strength,Vegan,1.6,9.0,54.0,medium
110,22.0,F,179.9,76.9,3.0,9.0,168.0,,Experienced,,27.9,17.3,Creatine,Mixed,Vegetarian,4.0,6.0,69.0,medium
111,59.0,F,172.1,77.7,2.0,5.0,164.0,9.0,Intermediate,34.0,35.7,,,Mixed,Vegetarian,3.0,9.0,34.0,medium
112,56.0,M,194.0,102.1,7.0,5.0,,9.0,Beginner,47.3,51.7,15.2,None,Strength,Vegan,2.9,5.0,73.0,medium
113,58.0,M,163.9,56.3,6.0,,116.0,7.0,Experienced,,24.9,16.4,,Cardio,Omnivore,2.0,2.0,36.0,fast
114,45.0,M,170.1,89.9,6.0,9.0,174.0,8.0,Beginner,38.8,43.0,14.4,None,Mixed,Omnivore,2.1,,,medium
115,24.0,F,154.1,44.4,5.0,9.0,87.0,6.0,Experienced,19.4,20.4,22.5,None,Strength,Vegetarian,3.7,7.0,61.0,medium
116,26.0,M,178.5,87.0,6.0,4.0,187.0,7.0,Beginner,40.7,44.9,21.4,Pre-workout,Mixed,Vegetarian,3.5,5.0,53.0,
117,25.0,M,188.7,117.2,6.0,8.0,251.0,6.0,,53.9,54.4,22.1,None,Strength,Vegan,3.2,9.0,84.0,slow
118,29.0,F,155.1,46.7,5.0,,91.0,8.0,Experienced,14.3,,21.1,Pre-workout,Cardio,Omnivore,1.8,10.0,65.0,
119,51.0,M,165.2,83.5,3.0,1.0,181.0,7.0,,33.8,36.3,12.5,None,Mixed,Omnivore,1.9,4.0,34.0,
120,50.0,M,184.6,70.5,3.0,5.0,140.0,8.0,Experienced,,28.7,19.7,Creatine,Strength,Vegan,3.4,6.0,71.0,medium
121,65.0,M,169.2,99.9,2.0,1.0,191.0,6.0,Experienced,49.6,50.7,15.7,None,Cardio,Omnivore,3.7,3.0,64.0,
122,,M,179.2,97.1,5.0,9.0,176.0,9.0,Experienced,38.9,39.8,24.7,None,,Keto,2.2,10.0,64.0,fast
123,41.0,F,151.5,68.0,1.0,6.0,131.0,9.0,Intermediate,22.1,23.6,16.2,None,Cardio,Keto,2.6,6.0,62.0,
124,54.0,F,170.4,75.5,,,159.0,7.0,Intermediate,23.8,25.6,17.0,Creatine,Strength,Omnivore,1.9,8.0,49.0,fast
125,52.0,F,166.2,57.8,,6.0,115.0,9.0,,18.3,19.7,19.1,,Cardio,Vegan,1.7,2.0,,slow
126,61.0,M,185.9,117.1,1.0,6.0,221.0,,,55.3,59.1,20.2,None,Cardio,Vegan,3.6,3.0,,fast
127,57.0,,171.0,86.0,1.0,1.0,,7.0,Intermediate,32.5,34.3,11.4,Creatine,Mixed,Vegetarian,3.8,3.0,85.0,
128,39.0,F,,62.5,6.0,,135.0,,Beginner,,,22.0,,Cardio,Vegan,1.5,1.0,79.0,slow
129,,M,192.1,97.6,5.0,4.0,187.0,,Intermediate,47.0,49.2,10.4,None,Mixed,Omnivore,2.4,,77.0,fast
130,52.0,F,171.6,63.1,5.0,,131.0,,Experienced,28.1,29.5,15.7,None,Strength,Omnivore,2.5,,86.0,slow
131,18.0,F,167.4,68.3,2.0,4.0,,6.0,Beginner,29.7,34.0,17.6,,Mixed,Keto,,4.0,,
132,52.0,,185.1,155.0,,2.0,188.0,8.0,Experienced,,37.4,47.5,None,Mixed,Vegan,3.2,5.0,,fast
133,54.0,,152.8,66.0,5.0,3.0,132.0,6.0,Intermediate,,23.1,20.3,Creatine,Cardio,Vegetarian,2.9,6.0,83.0,medium
134,64.0,F,175.7,56.6,5.0,10.0,,7.0,Beginner,18.9,22.4,19.1,None,Strength,Vegetarian,4.0,4.0,79.0,medium
135,31.0,F,173.1,73.0,3.0,3.0,156.0,,Experienced,31.8,33.3,,Pre-workout,Strength,Vegetarian,1.7,4.0,81.0,fast
136,20.0,F,167.7,78.9,4.0,8.0,147.0,7.0,Experienced,,32.5,22.3,Creatine,Cardio,Vegetarian,1.5,7.0,73.0,medium
137,18.0,F,177.6,57.8,6.0,10.0,112.0,8.0,,18.4,20.9,17.6,None,Strength,Vegan,2.1,,53.0,slow
138,22.0,,155.1,51.5,1.0,7.0,96.0,6.0,Beginner,19.2,,15.3,Pre-workout,,Omnivore,2.4,3.0,51.0,medium
139,43.0,M,187.5,73.0,6.0,1.0,157.0,8.0,Experienced,24.8,25.4,,None,Mixed,Vegan,2.7,10.0,44.0,slow
140,31.0,F,178.9,80.5,5.0,2.0,159.0,8.0,Experienced,,26.3,23.0,None,Cardio,Vegan,3.7,7.0,35.0,medium
141,,F,,55.3,5.0,8.0,106.0,6.0,Beginner,22.0,26.5,19.5,None,Strength,,2.8,3.0,81.0,medium
142,44.0,M,160.6,88.7,,2.0,190.0,7.0,Intermediate,38.2,40.3,19.5,None,Strength,Vegan,,5.0,60.0,medium
143,26.0,M,189.4,104.9,1.0,1.0,227.0,6.0,Experienced,34.0,35.5,15.2,Pre-workout,Cardio,Keto,3.9,8.0,61.0,slow
144,32.0,F,150.2,55.8,5.0,5.0,103.0,9.0,,22.4,25.9,19.5,Protein,Mixed,Omnivore,3.6,10.0,74.0,
145,32.0,M,194.9,128.2,3.0,4.0,262.0,8.0,Intermediate,52.5,54.5,10.3,None,Cardio,Vegan,3.3,,,fast
146,,M,162.3,61.5,7.0,4.0,124.0,7.0,Beginner,25.5,29.2,21.9,Protein,Mixed,Omnivore,2.1,3.0,48.0,slow
147,59.0,F,169.6,71.2,5.0,,152.0,7.0,Beginner,24.9,28.4,27.5,None,Mixed,,2.2,2.0,80.0,medium
148,30.0,M,175.1,86.3,2.0,9.0,173.0,9.0,Intermediate,33.6,35.8,10.3,Protein,Cardio,,3.5,4.0,84.0,medium
149,49.0,F,156.1,46.3,5.0,,85.0,8.0,Experienced,14.4,15.7,20.8,None,,,1.8,5.0,53.0,slow
150,,F,176.9,91.3,1.0,6.0,200.0,7.0,Beginner,,44.1,19.4,,Strength,Omnivore,2.6,10.0,37.0,
151,49.0,F,172.4,78.5,3.0,4.0,158.0,,Intermediate,23.9,25.5,26.6,Creatine,Mixed,Vegan,2.5,4.0,41.0,
152,21.0,F,160.2,73.5,,9.0,151.0,6.0,Beginner,27.4,31.2,27.5,None,Mixed,Vegetarian,,7.0,68.0,medium
153,47.0,M,171.4,102.1,6.0,4.0,186.0,7.0,Intermediate,42.8,44.3,12.1,None,Mixed,Vegetarian,1.9,3.0,34.0,slow
154,54.0,,172.1,70.4,4.0,,149.0,9.0,Beginner,23.2,26.9,19.6,None,Strength,Vegetarian,3.4,7.0,48.0,fast
155,40.0,M,193.5,120.0,3.0,4.0,259.0,6.0,Intermediate,59.8,,23.5,None,Strength,Vegan,,10.0,75.0,medium
156,56.0,M,188.6,102.0,3.0,9.0,195.0,8.0,Intermediate,31.6,34.1,19.7,None,Mixed,Omnivore,2.0,2.0,70.0,fast
157,62.0,F,169.2,85.1,6.0,9.0,163.0,6.0,Beginner,26.3,30.1,28.2,None,Mixed,Omnivore,3.8,2.0,48.0,fast
158,32.0,F,156.8,51.5,4.0,,97.0,9.0,Intermediate,17.3,19.0,29.3,None,Cardio,Omnivore,2.6,5.0,67.0,fast
159,60.0,M,194.1,76.1,5.0,10.0,154.0,9.0,Intermediate,34.7,37.1,14.1,None,Mixed,Omnivore,3.8,8.0,55.0,slow
160,46.0,F,172.5,60.2,2.0,1.0,109.0,9.0,Intermediate,25.7,28.0,28.6,Pre-workout,Cardio,,3.9,8.0,79.0,fast
161,53.0,F,,53.5,6.0,4.0,99.0,7.0,Beginner,18.3,22.6,16.2,None,Cardio,Omnivore,3.0,5.0,67.0,medium
162,30.0,F,165.3,63.5,1.0,10.0,130.0,9.0,Beginner,23.9,27.7,,Protein,Strength,Vegetarian,2.3,2.0,60.0,fast
163,49.0,M,182.8,70.7,7.0,5.0,141.0,8.0,Beginner,26.7,30.9,23.5,None,Cardio,,2.3,2.0,49.0,slow
164,24.0,M,193.1,86.9,3.0,5.0,182.0,,Beginner,40.3,,17.1,None,Mixed,,3.6,3.0,65.0,fast
165,39.0,M,189.7,77.2,6.0,7.0,162.0,7.0,Experienced,27.2,28.3,19.3,None,Mixed,,,3.0,38.0,medium
166,45.0,M,194.2,103.0,,4.0,203.0,9.0,Experienced,,,10.7,Pre-workout,Cardio,,2.7,7.0,63.0,
167,19.0,F,165.2,57.9,1.0,2.0,120.0,,Beginner,21.8,25.4,,Creatine,Cardio,Keto,,,64.0,slow
168,59.0,F,168.7,67.3,1.0,4.0,,8.0,,28.9,33.0,27.2,,Strength,Keto,3.4,2.0,65.0,
169,62.0,M,194.2,,7.0,1.0,164.0,9.0,Experienced,29.1,29.9,21.9,Protein,Strength,Omnivore,1.6,3.0,33.0,fast
170,,M,,,5.0,9.0,174.0,,Beginner,28.2,,18.8,None,Cardio,Omnivore,1.9,6.0,71.0,fast
171,45.0,M,177.8,69.4,6.0,9.0,153.0,6.0,Beginner,25.0,29.1,,None,Mixed,Vegan,2.3,2.0,,slow
172,45.0,M,184.8,73.4,2.0,4.0,147.0,6.0,Beginner,27.9,32.0,18.5,Protein,Cardio,Vegetarian,2.4,8.0,,medium
173,61.0,M,196.6,95.3,6.0,5.0,181.0,9.0,Beginner,36.5,40.0,19.7,None,Mixed,Omnivore,2.0,9.0,68.0,slow
174,61.0,F,,64.5,3.0,10.0,136.0,8.0,Intermediate,22.1,,15.4,Pre-workout,Mixed,Keto,,3.0,37.0,medium
175,37.0,M,168.5,90.4,3.0,9.0,169.0,,Experienced,37.0,,12.7,,Mixed,Omnivore,3.5,3.0,72.0,fast
176,47.0,M,,98.7,6.0,10.0,208.0,8.0,Beginner,48.6,,13.1,None,,Omnivore,1.9,9.0,73.0,fast
177,28.0,,159.8,60.1,5.0,1.0,119.0,6.0,Intermediate,26.0,28.4,24.4,None,Cardio,Keto,3.1,,75.0,medium
178,45.0,F,158.5,54.6,,5.0,115.0,6.0,Intermediate,21.4,23.1,,None,Strength,Omnivore,,10.0,61.0,fast
179,42.0,F,167.7,83.4,6.0,6.0,160.0,7.0,Experienced,36.1,37.5,29.0,Protein,Strength,Keto,2.2,4.0,75.0,medium
180,56.0,M,195.4,98.2,1.0,1.0,195.0,8.0,Experienced,,38.8,23.7,Protein,Mixed,Vegetarian,2.2,4.0,,fast
181,50.0,F,169.1,51.8,7.0,5.0,111.0,8.0,Beginner,21.0,24.6,16.6,Protein,Cardio,Omnivore,3.8,3.0,32.0,medium
182,18.0,M,169.7,93.0,6.0,,180.0,6.0,Beginner,40.4,43.9,12.7,Creatine,Mixed,,2.6,9.0,,medium
183,44.0,M,194.6,85.4,7.0,6.0,168.0,6.0,Intermediate,38.9,41.1,20.4,None,Mixed,Omnivore,1.5,2.0,44.0,medium
184,30.0,F,169.0,76.0,7.0,2.0,154.0,7.0,Beginner,23.5,27.9,21.0,None,Cardio,Omnivore,3.4,6.0,90.0,
185,58.0,M,168.8,57.6,5.0,3.0,118.0,6.0,Beginner,19.5,23.9,22.0,None,Cardio,Omnivore,3.4,6.0,53.0,slow
186,20.0,M,174.5,66.0,1.0,6.0,124.0,8.0,Intermediate,26.2,27.7,13.9,None,Mixed,Omnivore,3.7,8.0,82.0,medium
187,56.0,F,173.7,,7.0,6.0,147.0,7.0,Beginner,26.3,30.1,26.5,Pre-workout,Cardio,Omnivore,,10.0,89.0,fast
188,23.0,F,172.2,55.8,1.0,8.0,111.0,9.0,Intermediate,17.8,19.9,21.8,Creatine,Strength,Vegetarian,1.6,10.0,82.0,fast
189,,F,167.3,80.2,6.0,9.0,170.0,9.0,Beginner,24.9,28.7,23.4,,Cardio,Vegan,3.5,3.0,86.0,fast
190,44.0,F,154.3,64.3,4.0,4.0,133.0,9.0,Beginner,23.4,27.5,20.4,None,Cardio,Vegan,3.6,7.0,82.0,fast
191,26.0,,,66.5,7.0,9.0,133.0,,Beginner,21.3,25.7,19.7,None,Mixed,,1.9,4.0,60.0,slow
