Age (years),Sex,Height (cm),Initial LBM (kg),Training Experience (years),Training Frequency (sessions per week),Average Reps per Set,Average Load per Exercise (kg),Average Daily Calories (kcal),Average Daily Protein Intake (grams),Average Sleep Duration per Night (hours),Sleep Quality (1–10 scale),Stress Level (1–10 scale),Creatine Supplement Use,Training Duration (Weeks),LBM after the training period (kg)
27,Male,178.1,63.1,0.1,2,4,90.7,2815.0,126.0,7.1,6.6,5.1,No,36,66.4
32,Female,162.5,45.5,2.6,4,7,50.8,2274.0,138.0,7.9,6.3,3.3,No,33,46.9
22,Male,164.5,49.7,5.7,6,13,56.4,2681.0,173.0,7.6,6.5,2.9,No,39,52.7
45,Male,187.0,70.0,4.3,1,10,82.2,2336.0,141.0,6.6,4.7,9.9,No,22,71.9
18,Female,167.2,51.8,1.3,3,8,48.0,2297.0,135.0,7.5,6.1,1.0,Yes,33,56.1
34,Male,176.1,59.9,0.7,6,4,62.2,2894.0,172.0,7.7,6.9,7.5,No,25,61.5
36,Female,170.4,51.8,0.3,7,9,32.4,2430.0,165.0,8.1,7.0,1.3,No,11,51.8
22,Male,177.6,65.3,0.8,7,14,46.5,2212.0,151.0,6.4,3.7,10.0,No,50,67.0
20,Male,179.5,68.7,3.4,7,8,106.5,3011.0,196.0,8.2,8.1,1.8,No,43,74.7
40,Female,166.0,54.9,2.6,6,11,89.3,2234.0,148.0,6.6,4.4,4.8,No,15,58.0
20,Female,172.8,54.6,5.6,2,12,74.3,2017.0,100.0,5.2,1.0,9.2,Yes,48,59.9
24,Female,153.3,40.1,0.4,5,8,38.2,1980.0,105.0,5.9,2.2,7.7,No,19,41.3
39,Male,164.8,50.2,0.4,5,11,51.8,2963.0,136.0,6.6,4.3,7.0,No,25,50.8
30,Male,174.9,57.7,1.8,5,14,54.2,2612.0,154.0,7.0,5.4,5.2,Yes,20,60.8
18,Female,160.8,48.5,2.4,4,7,99.7,2369.0,144.0,7.4,5.6,3.0,No,9,49.7
47,Male,170.5,55.3,0.9,3,13,66.5,2683.0,126.0,7.9,8.2,2.6,Yes,27,56.0
25,Male,185.5,67.3,2.0,5,11,61.9,2591.0,167.0,6.7,5.1,6.4,Yes,47,71.3
26,Male,189.7,71.3,2.9,4,4,42.0,2394.0,211.0,8.0,6.5,4.1,No,10,71.2
33,Male,185.3,66.7,2.5,3,7,84.6,2523.0,136.0,6.9,3.7,4.2,No,11,68.5
36,Female,153.1,35.4,0.5,3,6,37.6,2124.0,83.0,6.9,3.5,3.5,Yes,43,38.2
50,Male,173.9,60.6,1.7,1,15,40.5,2602.0,141.0,8.2,7.3,1.4,Yes,38,61.2
18,Female,162.7,47.5,1.6,3,8,35.8,2016.0,142.0,9.3,8.0,4.5,No,30,48.3
38,Male,167.6,52.5,1.9,5,8,65.1,2557.0,172.0,6.8,5.2,4.6,No,35,54.9
37,Male,171.5,55.5,1.2,1,7,61.0,2348.0,95.0,7.2,5.3,6.3,Yes,37,57.5
29,Male,172.0,58.9,1.7,7,5,37.8,2912.0,169.0,5.9,3.3,6.0,Yes,24,60.8
38,Male,177.4,62.1,1.0,2,5,55.7,2362.0,153.0,6.4,3.2,5.8,No,12,62.7
39,Female,164.0,42.6,3.8,7,11,54.7,2395.0,131.0,7.5,4.6,8.2,No,51,45.2
18,Female,171.0,52.4,0.6,5,12,37.5,2051.0,148.0,8.9,9.5,1.0,No,52,54.9
47,Female,172.8,56.9,0.2,2,9,57.5,2019.0,73.0,8.0,6.2,1.8,No,35,58.7
18,Female,161.1,44.3,0.4,5,6,50.4,2136.0,129.0,4.8,1.0,10.0,Yes,52,47.3
19,Female,171.4,54.3,2.3,6,8,20.9,2281.0,153.0,6.7,5.7,5.5,No,43,56.7
27,Female,150.9,39.8,0.7,2,8,29.5,2005.0,50.0,8.2,7.6,2.5,No,37,41.8
49,Male,178.3,68.1,0.6,2,13,61.4,2886.0,137.0,7.2,5.9,1.0,No,10,69.9
27,Male,181.8,64.2,0.6,5,7,40.9,2493.0,166.0,7.4,7.8,3.6,Yes,39,67.0
30,Male,183.4,67.6,0.1,4,9,31.9,2181.0,226.0,5.9,2.3,6.8,Yes,14,69.3
44,Male,181.7,69.1,6.1,5,13,98.2,2821.0,154.0,5.2,1.4,9.5,No,16,71.2
27,Male,179.9,64.9,0.8,7,13,94.3,3000.0,182.0,7.2,5.6,1.0,No,28,66.9
18,Male,167.1,56.4,2.1,1,14,50.4,2421.0,123.0,5.4,1.9,7.3,No,11,57.5
26,Female,154.4,39.2,2.6,5,4,49.5,2289.0,90.0,7.0,5.6,3.3,No,36,39.9
44,Male,171.2,59.9,0.9,1,4,61.6,2745.0,135.0,6.4,5.4,5.7,No,8,61.0
31,Male,179.5,65.1,4.1,4,12,42.5,2713.0,128.0,5.4,1.5,5.3,Yes,33,68.5
49,Male,168.0,56.6,2.5,5,9,60.4,2899.0,162.0,8.9,6.7,1.1,Yes,23,60.4
37,Male,179.4,61.8,0.1,1,12,67.8,2362.0,98.0,8.0,6.9,4.0,No,32,66.1
24,Female,168.1,52.9,3.4,2,14,32.2,2205.0,87.0,6.9,5.0,7.0,Yes,30,53.7
31,Male,163.5,50.7,0.5,2,13,71.0,2381.0,97.0,7.9,6.1,4.2,No,52,54.4
21,Female,167.5,53.0,1.0,1,7,61.9,2172.0,134.0,8.0,5.9,7.2,Yes,6,54.2
23,Female,156.1,46.8,9.2,2,9,73.0,2094.0,86.0,8.4,8.6,4.4,Yes,15,47.7
65,Male,181.9,64.3,0.6,5,11,102.9,3020.0,171.0,7.2,5.8,6.0,No,41,66.9
40,Male,171.0,56.4,5.4,2,15,98.7,2397.0,123.0,7.4,5.2,7.4,Yes,25,58.2
39,Female,164.5,46.2,3.0,6,15,39.2,2285.0,155.0,5.1,1.0,10.0,No,8,45.2
24,Female,159.1,41.7,2.6,5,15,50.4,2015.0,96.0,7.4,4.4,1.0,No,51,45.4
46,Female,165.0,47.2,9.4,6,4,78.0,2365.0,125.0,7.8,5.9,2.6,No,10,47.4
41,Female,164.4,46.4,4.5,6,11,45.6,2232.0,166.0,5.7,4.2,4.6,Yes,48,49.1
49,Male,190.2,68.4,3.8,1,6,74.4,2564.0,109.0,5.5,2.7,9.8,No,28,68.9
48,Male,175.7,59.4,0.1,5,12,87.9,2562.0,124.0,8.3,6.4,3.4,Yes,25,62.7
18,Male,179.0,65.8,1.0,7,14,46.8,2481.0,200.0,7.8,6.8,1.5,No,43,68.4
19,Female,166.9,52.6,0.8,6,11,42.8,2235.0,156.0,7.3,5.8,3.9,No,49,54.3
20,Female,159.8,46.3,0.1,2,5,23.6,1903.0,89.0,7.5,5.2,6.5,Yes,52,49.1
21,Male,180.5,64.0,0.2,5,13,47.6,2715.0,163.0,7.5,5.4,4.0,No,10,63.6
33,Male,177.0,63.5,2.3,3,15,51.4,2533.0,146.0,8.1,7.8,2.8,Yes,32,64.4
24,Male,177.2,64.3,3.3,3,5,65.7,2462.0,148.0,5.4,1.7,8.3,No,41,69.0
51,Male,169.7,62.5,1.9,5,14,58.1,2809.0,216.0,8.6,8.7,2.1,No,44,65.8
49,Female,167.5,50.7,3.0,5,10,57.0,2206.0,166.0,4.9,1.0,10.0,No,24,51.3
30,Female,161.1,43.3,1.8,3,10,14.8,2300.0,120.0,8.6,7.5,1.7,No,30,44.1
50,Female,157.2,45.2,2.5,7,15,51.8,2485.0,133.0,5.9,2.2,8.4,No,27,44.0
45,Male,174.0,59.6,2.6,6,10,87.1,2903.0,186.0,7.1,6.3,7.4,No,16,61.0
25,Male,184.4,69.1,3.3,3,4,66.6,2679.0,128.0,6.0,4.6,2.6,No,48,71.0
18,Female,162.3,49.1,0.7,7,6,26.6,2340.0,155.0,4.9,1.0,7.9,No,38,50.3
28,Female,171.3,51.9,3.1,4,14,47.2,1951.0,130.0,9.3,9.1,1.5,No,51,55.5
24,Female,167.3,53.8,1.4,1,11,51.0,2055.0,100.0,7.2,6.1,6.6,Yes,12,54.2
32,Female,171.2,56.6,6.5,6,12,52.0,2214.0,117.0,7.3,2.4,7.8,No,5,57.5
31,Male,183.9,68.4,0.4,1,15,63.6,2376.0,113.0,7.3,6.0,1.7,Yes,9,67.8
31,Male,182.8,67.4,8.7,6,11,110.3,2731.0,199.0,6.7,4.5,7.2,No,42,72.6
35,Male,184.4,68.9,0.2,2,8,42.2,2409.0,157.0,5.2,1.9,7.3,No,51,70.8
18,Male,191.9,73.4,1.8,5,6,77.0,2681.0,178.0,7.0,5.1,3.6,Yes,5,74.1
34,Male,188.3,74.0,2.3,1,10,38.9,2351.0,131.0,7.7,6.2,9.7,No,10,73.2
26,Male,180.3,63.2,4.6,3,14,68.4,2637.0,153.0,5.7,3.3,8.2,No,41,64.8
32,Female,168.1,50.4,2.9,5,10,65.7,2259.0,121.0,7.8,6.2,4.4,No,42,54.1
40,Male,179.6,68.0,0.2,6,11,37.4,2774.0,161.0,4.9,1.8,6.9,No,16,68.5
18,Male,163.5,57.3,1.9,4,11,76.1,2806.0,151.0,6.7,4.1,7.0,No,28,61.0
27,Female,151.0,38.5,2.4,7,9,35.8,2436.0,132.0,6.4,5.1,1.0,Yes,35,40.0
29,Male,169.6,57.3,0.5,4,15,71.6,2897.0,155.0,7.3,6.4,2.5,Yes,19,58.2
25,Male,184.9,69.3,2.1,2,10,68.3,2505.0,161.0,7.3,5.3,4.5,No,12,73.8
39,Female,150.0,38.5,0.2,2,5,27.7,1894.0,106.0,6.2,3.8,7.2,No,27,38.5
23,Male,166.8,58.3,0.3,2,10,33.8,2712.0,119.0,7.5,6.2,9.2,No,13,57.2
24,Male,176.6,60.3,0.9,6,5,76.6,2675.0,177.0,7.1,5.0,5.1,No,44,64.0
23,Male,169.5,55.4,0.4,5,5,19.0,2453.0,137.0,8.8,8.0,2.0,Yes,18,57.0
41,Male,164.9,52.1,0.0,5,6,69.5,2410.0,163.0,7.3,6.9,1.0,No,17,54.0
25,Female,156.8,42.3,1.9,3,13,68.7,2225.0,91.0,5.8,2.6,6.9,No,52,47.9
35,Female,164.3,47.8,1.2,7,11,63.2,1767.0,160.0,9.2,8.2,1.0,No,35,50.3
50,Female,156.6,45.6,0.5,4,4,58.5,2050.0,138.0,7.4,5.2,4.8,No,16,46.8
29,Female,166.7,48.9,0.5,1,8,10.0,2200.0,92.0,6.5,4.7,5.5,No,16,49.2
41,Female,178.5,60.5,1.8,7,5,45.0,2319.0,200.0,6.8,4.6,7.7,No,29,60.3
47,Male,177.9,58.7,0.2,5,8,52.1,2651.0,137.0,7.3,4.3,9.3,No,22,59.4
40,Female,152.3,38.5,0.6,3,15,19.8,2094.0,100.0,6.6,2.8,6.1,No,46,39.3
30,Male,167.0,53.1,0.1,4,7,47.2,2581.0,146.0,6.7,4.9,4.3,No,44,57.0
36,Female,166.9,51.7,2.9,3,5,56.2,2121.0,115.0,6.6,4.8,4.7,No,50,55.2
18,Female,166.3,49.4,7.5,1,8,30.2,1897.0,91.0,7.0,6.0,5.5,No,24,48.4
22,Male,180.8,67.1,0.6,3,10,48.1,2505.0,161.0,5.5,2.3,3.2,Yes,41,71.3
24,Male,179.3,67.2,1.2,3,13,42.3,2568.0,155.0,9.4,8.7,1.0,No,10,65.5
52,Male,171.0,53.7,1.1,7,6,78.4,2496.0,148.0,4.4,1.0,10.0,No,40,57.6
22,Male,174.3,61.9,1.6,2,8,26.4,2630.0,141.0,5.2,2.5,7.6,No,51,63.7
22,Female,167.7,49.8,0.9,1,12,50.9,2177.0,113.0,7.0,6.8,3.7,No,34,51.8
20,Female,156.1,34.4,0.3,7,11,51.1,2679.0,91.0,5.6,4.6,5.2,No,4,34.5
36,Male,192.4,74.0,0.6,5,10,91.2,2857.0,176.0,4.7,2.2,8.6,Yes,48,81.0
31,Male,180.9,67.6,3.2,1,12,82.8,2260.0,151.0,7.5,7.1,1.6,Yes,17,68.9
41,Male,182.1,69.7,1.8,2,8,37.7,2462.0,130.0,7.5,4.9,5.5,No,43,70.5
37,Male,175.9,60.3,0.1,6,12,57.5,2798.0,155.0,6.5,4.5,6.9,No,23,61.9
18,Male,165.7,49.3,0.5,4,15,57.2,2361.0,121.0,7.1,5.4,3.1,No,14,50.5
22,Male,171.1,61.5,1.0,1,4,18.6,2369.0,150.0,7.3,3.8,3.8,No,10,59.7
44,Female,164.0,48.3,2.1,4,10,34.8,2114.0,133.0,6.3,4.5,8.9,No,46,50.0
28,Male,174.3,53.8,3.1,3,10,64.5,2714.0,120.0,9.4,8.2,1.0,No,9,55.6
42,Male,172.7,57.4,1.8,5,15,46.5,2709.0,152.0,7.7,5.9,4.1,Yes,23,58.5
29,Female,175.2,54.2,4.6,5,15,55.6,2132.0,143.0,6.0,2.2,10.0,No,23,55.3
20,Male,171.0,53.1,3.3,4,5,62.6,2607.0,149.0,7.7,5.5,5.1,No,33,55.3
27,Female,167.9,56.1,1.3,6,15,48.2,2346.0,142.0,6.3,3.9,4.9,Yes,31,60.5
20,Female,163.2,44.2,2.6,7,13,67.3,2581.0,152.0,8.6,9.5,1.0,No,13,45.7
24,Male,183.2,66.4,0.4,6,12,69.5,2923.0,208.0,6.2,3.0,6.2,No,22,68.3
32,Male,175.2,58.9,0.9,7,6,46.0,2641.0,174.0,6.2,2.8,7.1,No,29,60.7
35,Male,180.2,65.7,0.0,1,8,62.5,2584.0,146.0,5.8,2.7,5.9,No,18,67.8
18,Male,180.6,63.8,2.7,1,9,84.2,2834.0,117.0,7.6,5.9,6.1,Yes,41,68.2
30,Male,178.1,64.5,5.4,4,14,94.5,2672.0,147.0,5.8,2.0,7.8,No,50,69.5
24,Female,160.9,40.5,0.9,7,12,85.0,2076.0,162.0,7.8,6.2,1.1,No,30,43.2
24,Male,174.7,63.1,0.7,5,15,96.8,2538.0,192.0,7.9,4.6,6.3,No,44,67.8
31,Male,178.2,62.6,0.6,3,9,90.7,2639.0,126.0,7.5,7.5,1.0,No,13,63.4
24,Male,177.7,58.5,0.0,5,12,34.4,2839.0,188.0,8.0,6.8,5.3,No,50,61.5
44,Female,171.3,58.4,0.7,4,6,39.8,2222.0,126.0,5.3,1.5,9.5,No,20,59.7
42,Male,186.0,65.3,0.0,4,9,61.4,2672.0,144.0,8.8,9.7,1.0,No,26,64.8
42,Male,159.5,44.3,1.6,5,14,67.1,2728.0,140.0,7.5,6.3,1.0,No,43,48.1
25,Male,175.2,56.2,2.3,4,5,43.3,2356.0,134.0,7.4,5.1,4.4,Yes,17,57.6
20,Female,171.3,52.7,0.9,6,4,45.6,2376.0,151.0,6.5,6.2,3.1,No,49,55.4
31,Male,178.3,62.6,1.0,4,4,74.6,2464.0,158.0,6.0,5.7,2.3,No,50,67.8
28,Female,162.8,44.7,0.8,4,13,69.0,2509.0,131.0,7.8,6.6,5.1,No,12,45.7
24,Female,166.3,51.4,0.6,6,10,42.6,2254.0,151.0,5.4,2.1,7.9,Yes,19,51.0
18,Male,193.5,72.4,0.8,5,13,56.6,2791.0,190.0,7.1,5.5,4.4,Yes,21,74.3
30,Female,162.6,47.5,1.7,7,14,71.1,2329.0,152.0,9.4,7.8,1.0,No,33,50.7
26,Male,179.7,63.3,1.6,1,10,52.0,2403.0,124.0,6.6,4.6,5.8,No,20,65.2
37,Female,163.4,48.2,2.7,7,14,22.4,2493.0,146.0,6.8,4.6,6.4,No,17,48.7
37,Female,161.6,48.5,0.3,7,4,51.3,2618.0,169.0,5.6,1.0,8.9,No,16,48.8
41,Male,183.8,68.1,6.4,4,15,58.6,2444.0,184.0,6.5,3.6,4.2,No,24,68.9
18,Male,178.5,63.7,1.5,5,10,59.6,2684.0,149.0,6.7,5.2,5.7,No,27,64.0
34,Female,172.8,59.4,3.7,1,12,80.5,2125.0,111.0,8.5,7.2,1.0,No,45,64.0
23,Male,176.6,59.0,0.1,4,8,69.8,2515.0,127.0,5.8,4.2,7.1,No,45,62.2
18,Male,167.4,57.2,0.9,1,6,42.2,2611.0,140.0,7.2,6.1,8.2,No,51,60.1
26,Male,167.3,53.8,2.6,1,9,56.0,2258.0,87.0,7.3,5.4,5.6,Yes,49,58.1
41,Female,163.6,47.7,0.2,2,5,24.1,2001.0,106.0,9.0,8.5,1.0,No,21,47.0
26,Female,161.6,41.1,0.4,2,15,65.5,2051.0,80.0,8.2,8.3,1.0,No,32,42.6
46,Male,184.2,65.3,1.7,5,6,54.9,2878.0,158.0,6.3,4.4,8.1,No,8,64.8
35,Male,171.2,53.2,1.3,6,9,88.6,3094.0,149.0,7.7,5.6,3.0,No,49,57.4
26,Male,175.9,56.3,1.0,6,13,90.2,2557.0,162.0,5.1,3.0,7.2,No,10,57.1
42,Female,176.6,63.9,0.4,3,12,72.1,2229.0,175.0,4.0,1.0,7.4,No,19,63.3
34,Male,168.4,53.1,0.0,4,7,69.4,2524.0,137.0,4.3,1.0,10.0,No,13,53.7
21,Female,164.7,49.4,0.0,3,14,59.6,2517.0,113.0,5.5,3.5,2.3,No,46,51.9
49,Male,172.9,56.9,1.9,2,9,71.9,2594.0,126.0,8.1,7.9,1.5,Yes,40,61.4
33,Female,160.6,45.8,1.1,6,5,61.2,2283.0,161.0,6.7,4.0,5.9,No,45,48.7
30,Male,176.8,61.6,3.1,3,15,42.4,2490.0,151.0,8.1,8.6,2.8,Yes,33,62.4
21,Male,169.2,49.9,0.8,3,14,20.0,2708.0,105.0,7.7,5.5,6.9,No,32,51.7
42,Male,163.7,46.9,0.0,1,6,75.3,2563.0,89.0,9.1,8.5,1.6,No,49,49.7
35,Female,161.2,47.6,1.4,5,7,54.9,2020.0,135.0,6.4,4.5,7.1,No,20,49.9
36,Female,175.8,52.5,1.2,1,10,23.1,1953.0,80.0,10.0,10.0,3.2,No,49,52.8
25,Male,185.5,72.3,0.4,3,14,57.8,2286.0,173.0,8.0,7.9,1.0,Yes,45,76.4
38,Female,170.8,49.4,10.6,7,4,79.1,2490.0,149.0,5.1,2.8,8.6,No,14,50.0
39,Female,163.1,51.9,0.2,3,9,26.1,2002.0,143.0,6.8,5.9,1.8,No,35,52.8
23,Female,166.1,51.3,1.0,3,13,28.1,2089.0,113.0,4.6,2.1,10.0,Yes,6,51.4
18,Male,182.2,67.6,1.5,2,9,61.9,2673.0,158.0,7.5,5.7,1.0,No,39,71.4
36,Male,180.3,61.9,0.8,4,6,54.1,2505.0,175.0,8.1,7.2,1.0,Yes,30,65.8
18,Male,185.6,70.6,0.9,3,10,56.3,2724.0,149.0,7.5,5.5,4.3,Yes,46,74.4
32,Female,161.2,48.3,4.6,7,9,56.0,2317.0,137.0,8.4,7.5,2.3,No,44,50.4
26,Female,171.0,53.7,1.0,1,9,15.1,1897.0,77.0,6.3,4.5,2.7,No,7,52.4
42,Female,158.1,42.0,1.2,1,6,35.3,2141.0,111.0,5.9,4.2,2.7,No,4,41.4
26,Male,181.6,63.5,1.4,6,13,34.9,2685.0,178.0,6.1,3.0,5.9,No,19,65.8
41,Male,171.8,58.6,1.8,7,5,84.4,2995.0,204.0,6.4,5.2,6.5,No,20,60.8
25,Female,166.4,53.6,0.9,4,10,23.0,2012.0,130.0,6.7,5.8,8.8,No,17,53.7
40,Female,157.9,43.1,5.4,5,11,43.3,1730.0,86.0,7.3,5.9,1.0,No,39,46.5
51,Female,163.5,46.1,0.2,3,8,19.8,2195.0,111.0,8.1,8.0,1.0,No,16,44.4
19,Female,155.7,45.8,0.6,2,4,52.7,2087.0,97.0,6.7,5.6,8.0,No,34,47.5
33,Female,162.4,49.2,6.5,6,12,85.8,2084.0,145.0,6.6,3.8,7.1,No,14,52.7
57,Male,168.3,56.0,0.6,5,8,83.9,2930.0,140.0,7.0,5.6,5.6,Yes,51,59.4
31,Male,168.0,57.0,3.9,5,8,60.7,2692.0,166.0,8.7,9.1,1.0,No,20,59.1
31,Female,156.7,45.5,2.4,7,4,62.4,2377.0,132.0,6.2,4.4,8.5,No,21,47.0
38,Female,166.3,54.6,3.4,2,8,58.4,2067.0,119.0,6.6,3.0,7.6,Yes,11,55.0
30,Male,174.0,60.3,2.2,7,5,57.0,2919.0,186.0,7.6,5.8,5.7,Yes,48,65.1
18,Male,190.5,77.7,1.1,4,7,48.9,2447.0,189.0,6.9,5.9,3.5,Yes,22,77.7
41,Female,165.2,48.1,7.7,3,10,44.9,1894.0,139.0,6.8,4.2,3.1,No,52,49.2
18,Male,187.3,71.7,0.0,5,11,57.2,2477.0,174.0,7.7,6.5,1.5,No,10,71.2
26,Male,188.0,73.3,1.6,4,8,76.9,2818.0,203.0,9.9,9.8,1.0,No,18,73.2
42,Male,185.9,69.2,0.8,7,10,46.8,2359.0,176.0,4.9,1.2,9.7,Yes,5,67.6
26,Female,158.0,43.6,1.7,2,10,51.0,2102.0,147.0,4.0,1.0,8.6,No,33,46.2
23,Female,162.9,43.6,5.5,1,15,33.3,1717.0,125.0,6.0,3.1,6.5,No,49,46.8
39,Male,185.9,67.0,6.7,7,10,52.3,2968.0,200.0,7.2,4.7,6.3,No,10,66.6
21,Female,170.2,48.1,0.8,3,9,43.4,1947.0,155.0,8.6,8.8,1.0,Yes,47,51.7
18,Male,178.9,66.3,5.5,7,15,54.4,2547.0,197.0,8.1,8.4,1.6,No,9,68.0
33,Male,176.7,58.1,8.7,1,10,85.1,1889.0,154.0,6.3,3.4,7.5,No,47,60.4
28,Female,172.2,51.8,1.3,5,9,49.5,2434.0,147.0,5.8,1.4,9.0,No,36,54.8
18,Female,164.1,47.0,0.3,6,12,40.1,1928.0,99.0,6.6,3.4,7.9,No,4,45.0
36,Female,170.2,53.9,7.1,3,4,47.2,2173.0,135.0,7.0,4.8,8.0,No,41,53.8
35,Female,174.8,54.7,4.5,3,13,51.9,2121.0,128.0,5.2,1.7,10.0,No,5,53.9
26,Female,164.8,49.6,2.1,6,5,63.9,2037.0,133.0,7.0,5.4,4.4,No,36,52.0
27,Male,161.4,46.9,0.1,1,6,10.0,2571.0,108.0,6.9,4.6,7.0,No,12,46.6
35,Male,169.7,55.5,0.9,1,9,31.5,1891.0,138.0,4.4,2.1,8.4,No,39,55.5
42,Male,173.8,63.5,0.3,4,15,55.9,2870.0,122.0,7.3,5.7,4.1,Yes,32,66.6
27,Male,179.5,65.2,0.4,6,8,45.2,2717.0,164.0,6.6,5.5,1.3,No,51,66.5
37,Female,160.2,44.1,2.3,6,9,67.0,2319.0,118.0,7.2,4.0,9.5,Yes,22,47.8
36,Male,177.6,66.1,1.0,4,7,16.2,2356.0,153.0,6.3,3.3,6.5,No,27,66.1
39,Female,167.4,51.8,0.8,3,15,43.7,1889.0,160.0,5.4,1.9,10.0,No,51,54.7
30,Female,169.1,51.0,1.3,4,8,30.5,1783.0,139.0,7.2,5.5,5.0,No,41,53.0
21,Female,168.2,54.5,0.3,4,8,40.5,2163.0,141.0,7.5,6.5,3.6,Yes,38,58.6
25,Male,179.5,64.0,1.2,5,9,47.2,2559.0,150.0,5.1,1.0,10.0,No,32,64.9
33,Female,165.6,50.7,5.5,6,4,97.1,2514.0,157.0,6.2,3.1,7.7,Yes,17,51.7
48,Male,174.5,62.5,3.2,5,5,70.6,2751.0,160.0,10.0,9.2,1.1,No,49,65.5
25,Male,181.2,66.6,0.1,5,15,57.7,2854.0,171.0,6.9,5.7,5.4,Yes,31,70.5
38,Female,172.0,54.2,1.1,7,15,71.8,2475.0,159.0,7.8,4.6,7.5,No,29,55.4
27,Male,185.4,66.8,3.9,7,6,105.7,3083.0,213.0,7.2,4.1,3.9,No,29,71.7
31,Male,169.1,61.3,0.6,1,6,60.0,2503.0,143.0,7.4,4.4,6.0,Yes,5,62.2
45,Female,165.1,46.1,3.7,5,14,55.2,2442.0,135.0,6.3,3.6,6.1,Yes,45,49.4
38,Male,173.3,59.7,1.8,6,12,95.2,2561.0,194.0,7.0,4.5,1.5,No,49,65.6
18,Female,165.7,52.2,0.0,4,14,46.5,2241.0,146.0,7.8,5.2,5.1,No,11,53.1
24,Female,159.6,45.3,4.3,2,14,52.4,1683.0,96.0,7.3,6.7,2.6,No,14,46.7
43,Female,156.4,41.3,4.5,7,13,55.7,2421.0,152.0,9.2,7.7,2.8,Yes,33,43.9
31,Male,186.1,70.9,3.5,4,12,94.7,2635.0,136.0,6.0,3.6,4.9,No,4,72.3
19,Male,177.0,66.4,1.5,4,9,52.3,2434.0,168.0,7.6,6.8,2.9,Yes,24,69.5
22,Female,166.0,48.5,2.6,7,4,65.6,2329.0,145.0,6.7,5.3,5.3,No,22,51.3
37,Male,180.6,61.6,0.3,6,11,99.8,2596.0,183.0,6.6,3.2,6.5,No,52,67.8
40,Female,170.3,51.1,3.9,7,8,88.3,2666.0,115.0,4.9,1.0,8.1,Yes,25,52.9
30,Female,156.7,44.7,5.9,7,14,73.9,2456.0,165.0,7.8,7.8,4.1,No,28,48.3
55,Female,173.7,53.7,0.8,2,9,57.7,2393.0,117.0,6.9,2.6,8.3,No,22,56.5
