id,age,gender,height,weight,gym_frequency,workout_intensity,protein_intake,sleep_hours,training_experience,initial_muscle_mass,final_muscle_mass,body_fat_percentage,supplement_use,workout_type,diet_type,hydration_level,stress_level,session_duration,recovery_rate
18,19.0,M,166.7,80.8,5.0,2.0,161.0,7.0,Beginner,27.4,31.5,15.2,Protein,Strength,Omnivore,3.1,4.0,70.0,medium
19,41.0,M,190.5,116.0,2.0,4.0,233.0,7.0,Beginner,37.5,41.4,23.8,NoUse,Mixed,Omnivore,3.7,4.0,46.0,slow
20,61.0,F,156.6,62.6,6.0,2.0,117.0,8.0,Beginner,27.4,31.9,26.4,NoUse,Cardio,Omnivore,2.1,7.0,38.0,slow
21,47.0,M,165.7,91.9,1.0,2.0,177.0,9.0,Intermediate,32.9,35.3,12.4,NoUse,Cardio,Vegetarian,2.9,2.0,63.0,medium
22,55.0,M,182.5,96.6,3.0,10.0,182.0,9.0,Beginner,47.1,51.2,21.6,Protein,Mixed,Omnivore,3.2,4.0,58.0,medium
23,19.0,F,170.1,80.8,1.0,5.0,159.0,7.0,Intermediate,32.8,34.9,25.6,NoUse,Mixed,Omnivore,3.5,8.0,84.0,medium
24,38.0,F,167.1,56.2,4.0,2.0,115.0,6.0,Beginner,19.4,23.2,29.5,NoUse,Cardio,Omnivore,3.7,7.0,89.0,fast
25,50.0,M,186.3,83.1,7.0,1.0,154.0,7.0,Intermediate,30.1,32.1,10.9,NoUse,Cardio,Omnivore,3.5,1.0,86.0,medium
26,29.0,M,164.6,72.2,1.0,3.0,141.0,7.0,Intermediate,25.9,28.4,23.1,NoUse,Mixed,Vegetarian,2.4,7.0,50.0,fast
27,39.0,F,164.3,76.2,6.0,3.0,154.0,7.0,Beginner,27.9,31.5,23.1,NoUse,Strength,Vegan,2.0,7.0,36.0,fast
28,61.0,F,160.7,59.7,7.0,2.0,127.0,6.0,Intermediate,18.4,20.7,16.6,NoUse,Mixed,Vegetarian,3.7,7.0,32.0,fast
29,42.0,M,198.9,116.4,4.0,2.0,239.0,7.0,Beginner,37.5,41.2,19.3,Creatine,Cardio,Vegan,2.6,3.0,44.0,fast
30,44.0,F,151.5,52.2,6.0,7.0,111.0,7.0,Beginner,15.8,19.7,18.4,NoUse,Mixed,Omnivore,1.7,8.0,80.0,fast
31,59.0,F,158.9,69.9,5.0,3.0,128.0,6.0,Beginner,21.7,25.4,28.5,Protein,Cardio,Omnivore,3.1,9.0,48.0,fast
32,45.0,M,197.7,89.9,3.0,10.0,169.0,7.0,Experienced,34.6,35.4,10.6,NoUse,Strength,Omnivore,2.2,3.0,80.0,medium
33,33.0,M,199.3,114.8,5.0,3.0,249.0,8.0,Experienced,35.6,36.9,16.9,Creatine,Mixed,Omnivore,2.1,1.0,90.0,medium
34,32.0,M,193.0,106.8,4.0,6.0,221.0,6.0,Beginner,40.8,44.8,20.7,Protein,Strength,Keto,1.8,1.0,84.0,medium
35,,,,,,,,,,,,,Creatine,,,,,,
36,61.0,M,182.5,101.8,5.0,,198.0,,Beginner,,,16.1,Protein,Strength,Omnivore,,,78.0,
37,20.0,M,176.0,63.3,4.0,8.0,133.0,7.0,Beginner,22.0,25.9,20.2,Protein,Cardio,Omnivore,3.1,8.0,83.0,medium
38,54.0,M,192.3,120.6,5.0,8.0,260.0,9.0,Beginner,44.5,48.3,16.3,NoUse,Strength,Vegetarian,2.9,4.0,69.0,fast
39,24.0,F,151.7,51.0,7.0,10.0,103.0,7.0,Beginner,19.5,23.2,18.5,Protein,Mixed,Vegan,3.1,10.0,74.0,slow
40,38.0,M,167.9,89.9,6.0,3.0,167.0,8.0,Intermediate,27.9,30.4,20.6,NoUse,Cardio,Omnivore,2.5,4.0,75.0,slow
41,26.0,M,179.6,79.3,4.0,6.0,170.0,6.0,Intermediate,31.0,32.9,23.9,NoUse,Strength,Vegan,3.9,7.0,87.0,slow
42,56.0,F,154.7,48.5,1.0,8.0,95.0,7.0,Beginner,18.7,22.5,17.4,NoUse,Mixed,Vegan,2.6,9.0,66.0,medium
43,35.0,F,170.8,66.1,5.0,6.0,143.0,8.0,Intermediate,27.9,30.3,19.7,Protein,Cardio,Omnivore,3.0,5.0,30.0,medium
44,21.0,M,192.8,118.8,7.0,,250.0,,Intermediate,,53.5,18.0,NoUse,Mixed,Omnivore,2.2,,76.0,slow
45,42.0,M,188.2,108.2,3.0,7.0,209.0,7.0,Beginner,40.6,44.4,19.3,NoUse,Strength,Omnivore,2.2,7.0,85.0,medium
46,31.0,M,177.6,82.1,5.0,6.0,151.0,6.0,Experienced,38.1,39.0,16.1,Protein,Cardio,Omnivore,2.5,10.0,50.0,medium
47,,,,,,,182.0,,,,,,NoUse,,,,,,
48,43.0,M,165.5,71.6,2.0,9.0,131.0,6.0,Beginner,25.1,28.8,21.5,Pre-workout,Strength,Omnivore,2.1,9.0,84.0,fast
49,19.0,M,170.4,73.3,1.0,3.0,156.0,7.0,Experienced,30.2,31.2,14.1,NoUse,Strength,Keto,3.9,3.0,80.0,medium
50,37.0,F,164.7,53.5,7.0,1.0,98.0,6.0,Intermediate,23.3,24.9,15.3,NoUse,Cardio,Omnivore,2.2,7.0,64.0,slow
51,45.0,F,151.8,43.4,5.0,4.0,94.0,6.0,Beginner,15.8,19.4,19.4,NoUse,Cardio,Vegan,2.6,5.0,56.0,slow
52,64.0,M,163.8,67.7,4.0,1.0,135.0,7.0,Experienced,31.9,33.2,19.6,Protein,Cardio,Omnivore,2.7,8.0,65.0,fast
53,,,,,,,100.0,,,,,,Protein,,,,,,
54,61.0,M,197.8,105.4,1.0,6.0,225.0,7.0,Beginner,40.3,44.0,14.5,Creatine,Cardio,Omnivore,2.5,1.0,43.0,fast
55,25.0,M,196.3,126.8,6.0,8.0,256.0,6.0,Beginner,49.4,53.8,18.9,Creatine,Cardio,Vegan,1.8,6.0,56.0,medium
56,64.0,F,164.0,63.8,1.0,3.0,126.0,6.0,Beginner,24.7,28.9,15.2,Protein,Mixed,Vegan,3.7,10.0,56.0,medium
57,52.0,F,154.3,56.6,3.0,3.0,106.0,6.0,Beginner,23.8,28.2,22.9,Protein,Mixed,Vegan,3.0,8.0,44.0,slow
58,31.0,F,155.3,50.7,3.0,3.0,106.0,7.0,Beginner,22.3,25.9,29.2,NoUse,Mixed,Vegetarian,2.1,3.0,66.0,slow
59,34.0,F,161.3,52.0,7.0,4.0,104.0,6.0,Intermediate,18.9,20.8,29.1,NoUse,Strength,Omnivore,1.7,10.0,85.0,medium
60,53.0,M,168.4,66.2,4.0,3.0,133.0,6.0,Intermediate,25.8,28.0,16.4,Protein,Strength,Omnivore,1.7,1.0,68.0,medium
61,57.0,F,152.5,57.7,5.0,9.0,110.0,8.0,Beginner,18.2,22.5,27.0,NoUse,Mixed,Omnivore,3.1,7.0,88.0,slow
62,21.0,F,170.2,72.7,7.0,8.0,135.0,8.0,Intermediate,29.5,31.5,17.6,NoUse,Strength,Omnivore,1.8,8.0,65.0,medium
63,19.0,M,183.3,78.3,1.0,9.0,151.0,6.0,Intermediate,30.0,32.5,24.4,Protein,Cardio,Keto,2.9,6.0,51.0,slow
64,23.0,M,171.7,76.6,7.0,6.0,163.0,6.0,Intermediate,33.1,35.1,14.7,Creatine,Mixed,Omnivore,2.0,4.0,39.0,fast
65,59.0,M,191.2,104.3,2.0,6.0,214.0,6.0,Intermediate,43.9,45.5,23.2,NoUse,Cardio,Vegan,2.1,9.0,83.0,slow
66,21.0,F,173.3,81.5,3.0,4.0,158.0,6.0,Beginner,24.5,28.9,15.5,Creatine,Strength,Omnivore,2.1,3.0,31.0,medium
67,46.0,M,179.6,80.0,3.0,6.0,153.0,9.0,Experienced,24.6,25.8,13.8,Protein,Mixed,Omnivore,1.6,9.0,76.0,slow
68,35.0,F,152.9,49.7,1.0,9.0,90.0,9.0,Intermediate,21.4,23.8,26.8,NoUse,Cardio,Vegetarian,3.9,2.0,44.0,medium
69,43.0,F,177.6,84.4,6.0,5.0,153.0,6.0,Experienced,27.4,28.2,15.8,Protein,Cardio,Vegetarian,3.6,2.0,48.0,fast
70,61.0,F,170.1,69.9,3.0,6.0,139.0,9.0,Intermediate,26.0,28.5,17.2,Creatine,Cardio,Vegan,3.4,1.0,46.0,medium
71,51.0,F,157.4,70.1,3.0,6.0,133.0,6.0,Intermediate,24.7,26.4,23.5,Protein,Mixed,Vegan,2.8,2.0,63.0,fast
72,27.0,M,184.4,78.8,7.0,8.0,171.0,9.0,Beginner,32.4,36.7,17.6,NoUse,Cardio,Omnivore,1.8,2.0,65.0,slow
73,53.0,M,176.2,98.0,5.0,9.0,198.0,7.0,Intermediate,35.5,37.1,15.8,NoUse,Strength,Omnivore,2.8,4.0,57.0,medium
74,31.0,M,185.4,77.1,4.0,9.0,167.0,7.0,Beginner,29.5,33.1,15.2,NoUse,Cardio,Omnivore,2.3,9.0,71.0,fast
75,48.0,M,179.0,92.2,4.0,5.0,173.0,8.0,Beginner,30.8,34.3,13.1,Protein,Cardio,Keto,3.3,8.0,81.0,medium
76,65.0,M,179.4,78.1,3.0,1.0,144.0,6.0,Experienced,31.2,32.7,10.4,NoUse,Cardio,Vegan,2.0,5.0,53.0,medium
77,32.0,F,172.1,56.9,6.0,4.0,121.0,6.0,Beginner,24.5,28.9,27.1,NoUse,Cardio,Omnivore,3.4,9.0,78.0,slow
78,25.0,F,168.4,72.0,2.0,5.0,147.0,6.0,Experienced,31.9,32.8,23.5,NoUse,Mixed,Vegetarian,4.0,7.0,61.0,medium
79,31.0,F,152.4,55.9,6.0,6.0,116.0,8.0,Experienced,18.5,19.5,19.7,NoUse,Strength,Omnivore,3.7,8.0,80.0,fast
80,40.0,F,152.0,55.1,3.0,4.0,111.0,9.0,Intermediate,17.8,20.2,25.8,Protein,Strength,Omnivore,2.5,6.0,41.0,medium
81,57.0,M,172.2,85.7,7.0,4.0,167.0,9.0,Intermediate,28.8,31.2,11.4,Pre-workout,Mixed,Omnivore,3.0,7.0,72.0,medium
82,38.0,F,162.9,59.6,2.0,9.0,114.0,9.0,Beginner,21.6,26.0,20.0,Protein,Strength,Omnivore,1.7,9.0,69.0,slow
83,33.0,F,158.3,65.3,2.0,5.0,120.0,8.0,Intermediate,20.5,22.8,28.9,NoUse,Mixed,Omnivore,2.4,10.0,53.0,slow
84,62.0,F,169.5,56.2,2.0,1.0,103.0,8.0,Experienced,23.8,24.6,27.9,NoUse,Strength,Omnivore,2.2,8.0,55.0,slow
85,35.0,F,155.9,64.6,2.0,10.0,128.0,9.0,Beginner,21.9,26.4,20.7,Creatine,Strength,Keto,2.6,1.0,76.0,medium
86,64.0,F,171.1,73.1,7.0,7.0,140.0,7.0,Intermediate,26.6,28.9,21.5,Creatine,Strength,Omnivore,3.7,10.0,69.0,slow
87,41.0,F,173.2,71.5,1.0,9.0,145.0,7.0,Intermediate,23.9,25.9,19.1,NoUse,Strength,Keto,3.6,9.0,90.0,medium
88,43.0,M,165.0,59.7,3.0,8.0,124.0,6.0,Beginner,20.2,24.6,25.0,NoUse,Cardio,Omnivore,3.6,8.0,49.0,fast
89,42.0,M,186.0,83.6,6.0,9.0,172.0,7.0,Intermediate,25.5,27.1,22.3,Protein,Strength,Keto,3.5,3.0,90.0,fast
90,62.0,F,178.8,68.9,7.0,4.0,148.0,6.0,Beginner,25.2,28.9,23.5,NoUse,Cardio,Omnivore,2.3,9.0,79.0,medium
91,58.0,F,155.8,50.5,1.0,6.0,106.0,7.0,Intermediate,21.8,23.7,29.5,Creatine,Strength,Omnivore,2.5,9.0,56.0,slow
92,46.0,F,177.3,92.6,2.0,1.0,181.0,7.0,Intermediate,31.0,33.2,26.3,Protein,Mixed,Keto,3.0,4.0,36.0,fast
93,,,,,,,,,,,,,Creatine,,,,,,
94,62.0,F,167.7,69.1,4.0,8.0,126.0,9.0,Intermediate,25.2,26.7,25.9,Protein,Strength,Omnivore,2.6,6.0,46.0,medium
95,18.0,M,162.1,60.7,3.0,7.0,123.0,8.0,Beginner,29.2,33.7,11.1,Protein,Cardio,Omnivore,2.0,1.0,42.0,fast
96,42.0,M,189.9,121.4,3.0,1.0,251.0,7.0,Experienced,45.0,45.5,11.6,NoUse,Mixed,Keto,3.9,3.0,30.0,medium
97,,,,,,,,,,,,,NoUse,,,,,,
98,26.0,M,188.8,73.4,2.0,2.0,157.0,9.0,Experienced,35.1,35.8,10.4,NoUse,Strength,Vegetarian,2.2,4.0,81.0,medium
99,41.0,F,174.3,72.6,2.0,4.0,141.0,9.0,Intermediate,26.7,28.4,16.0,NoUse,Cardio,Vegan,2.4,6.0,74.0,fast
100,,,,,,,,,,,,,Creatine,,,,,,
101,61.0,M,170.5,61.0,1.0,8.0,118.0,6.0,Intermediate,21.3,23.8,21.6,NoUse,Cardio,Vegetarian,3.7,4.0,71.0,medium
102,25.0,M,165.7,57.0,7.0,3.0,105.0,8.0,Experienced,22.8,24.1,11.0,Protein,Strength,Vegan,2.5,6.0,72.0,fast
103,41.0,M,166.4,74.6,6.0,2.0,164.0,8.0,Intermediate,31.8,33.6,13.9,Creatine,Cardio,Omnivore,3.1,7.0,84.0,fast
104,28.0,M,194.7,75.9,7.0,3.0,151.0,8.0,Experienced,28.9,29.7,19.1,NoUse,Cardio,Vegetarian,3.7,5.0,70.0,medium
105,34.0,F,153.7,43.9,3.0,9.0,96.0,9.0,Experienced,19.1,20.2,21.4,NoUse,Cardio,Vegetarian,3.4,6.0,88.0,fast
106,25.0,M,175.4,69.2,1.0,2.0,140.0,6.0,Experienced,29.1,29.9,22.5,Creatine,Strength,Omnivore,3.0,1.0,49.0,medium
107,52.0,M,173.4,101.2,4.0,1.0,217.0,6.0,Intermediate,48.7,50.9,15.2,NoUse,Strength,Omnivore,1.8,8.0,82.0,medium
108,52.0,M,194.6,119.3,7.0,3.0,243.0,9.0,Intermediate,40.9,43.4,11.7,Protein,Mixed,Vegetarian,3.1,9.0,64.0,fast
109,50.0,F,164.3,63.2,7.0,5.0,130.0,8.0,Beginner,19.2,23.7,29.1,Creatine,Strength,Vegan,1.6,9.0,54.0,medium
110,22.0,F,179.9,76.9,3.0,9.0,168.0,6.0,Experienced,26.5,27.9,17.3,Creatine,Mixed,Vegetarian,4.0,6.0,69.0,medium
111,59.0,F,172.1,77.7,2.0,5.0,164.0,9.0,Intermediate,34.0,35.7,27.3,NoUse,Mixed,Vegetarian,3.0,9.0,34.0,medium
112,56.0,M,194.0,102.1,7.0,5.0,191.0,9.0,Beginner,47.3,51.7,15.2,NoUse,Strength,Vegan,2.9,5.0,73.0,medium
113,58.0,M,163.9,56.3,6.0,2.0,116.0,7.0,Experienced,23.6,24.9,16.4,Protein,Cardio,Omnivore,2.0,2.0,36.0,fast
114,45.0,M,170.1,89.9,6.0,9.0,174.0,8.0,Beginner,38.8,43.0,14.4,NoUse,Mixed,Omnivore,2.1,3.0,33.0,medium
115,24.0,F,154.1,44.4,5.0,9.0,87.0,6.0,Experienced,19.4,20.4,22.5,NoUse,Strength,Vegetarian,3.7,7.0,61.0,medium
116,26.0,M,178.5,87.0,6.0,4.0,187.0,7.0,Beginner,40.7,44.9,21.4,Pre-workout,Mixed,Vegetarian,3.5,5.0,53.0,medium
117,25.0,M,188.7,117.2,6.0,8.0,251.0,6.0,Experienced,53.9,54.4,22.1,NoUse,Strength,Vegan,3.2,9.0,84.0,slow
118,29.0,F,155.1,46.7,5.0,7.0,91.0,8.0,Experienced,14.3,15.1,21.1,Pre-workout,Cardio,Omnivore,1.8,10.0,65.0,fast
119,51.0,M,165.2,83.5,3.0,1.0,181.0,7.0,Intermediate,33.8,36.3,12.5,NoUse,Mixed,Omnivore,1.9,4.0,34.0,fast
120,50.0,M,184.6,70.5,3.0,5.0,140.0,8.0,Experienced,27.7,28.7,19.7,Creatine,Strength,Vegan,3.4,6.0,71.0,medium
121,65.0,M,169.2,99.9,2.0,1.0,191.0,6.0,Experienced,49.6,50.7,15.7,NoUse,Cardio,Omnivore,3.7,3.0,64.0,medium
122,,,,,,,176.0,,Experienced,,,,NoUse,,,,,,
123,41.0,F,151.5,68.0,1.0,6.0,131.0,9.0,Intermediate,22.1,23.6,16.2,NoUse,Cardio,Keto,2.6,6.0,62.0,fast
124,54.0,F,170.4,75.5,1.0,3.0,159.0,7.0,Intermediate,23.8,25.6,17.0,Creatine,Strength,Omnivore,1.9,8.0,49.0,fast
125,52.0,F,166.2,57.8,7.0,6.0,115.0,9.0,Experienced,18.3,19.7,19.1,NoUse,Cardio,Vegan,1.7,2.0,54.0,slow
126,61.0,M,185.9,117.1,1.0,6.0,221.0,6.0,Beginner,55.3,59.1,20.2,NoUse,Cardio,Vegan,3.6,3.0,87.0,fast
127,57.0,M,171.0,86.0,1.0,1.0,171.0,7.0,Intermediate,32.5,34.3,11.4,Creatine,Mixed,Vegetarian,3.8,3.0,85.0,fast
128,,F,,62.5,,,135.0,,Beginner,,,,Creatine,,Vegan,,,,
129,44.0,M,192.1,97.6,5.0,4.0,187.0,9.0,Intermediate,47.0,49.2,10.4,NoUse,Mixed,Omnivore,2.4,8.0,77.0,fast
130,52.0,F,171.6,63.1,5.0,3.0,131.0,6.0,Experienced,28.1,29.5,15.7,NoUse,Strength,Omnivore,2.5,2.0,86.0,slow
131,18.0,F,167.4,68.3,2.0,4.0,127.0,6.0,Beginner,29.7,34.0,17.6,NoUse,Mixed,Keto,2.6,4.0,74.0,medium
132,52.0,M,185.1,160.8,3.0,2.0,188.0,8.0,Experienced,35.9,37.4,22.4,NoUse,Mixed,Vegan,3.2,10.0,293.0,fast
133,54.0,F,152.8,66.0,5.0,3.0,132.0,6.0,Intermediate,21.3,23.1,20.3,Creatine,Cardio,Vegetarian,2.9,6.0,83.0,medium
134,64.0,F,175.7,56.6,5.0,10.0,108.0,7.0,Beginner,18.9,22.4,19.1,NoUse,Strength,Vegetarian,4.0,4.0,79.0,medium
135,31.0,F,173.1,73.0,3.0,3.0,156.0,7.0,Experienced,31.8,33.3,20.5,Pre-workout,Strength,Vegetarian,1.7,4.0,81.0,fast
136,20.0,F,167.7,78.9,4.0,8.0,147.0,7.0,Experienced,31.7,32.5,22.3,Creatine,Cardio,Vegetarian,1.5,7.0,73.0,medium
137,18.0,F,177.6,57.8,6.0,10.0,112.0,8.0,Intermediate,18.4,20.9,17.6,NoUse,Strength,Vegan,2.1,10.0,53.0,slow
138,22.0,F,155.1,51.5,1.0,7.0,96.0,6.0,Beginner,19.2,23.2,15.3,Pre-workout,Cardio,Omnivore,2.4,3.0,51.0,medium
139,43.0,M,187.5,73.0,6.0,1.0,157.0,8.0,Experienced,24.8,25.4,22.6,NoUse,Mixed,Vegan,2.7,10.0,44.0,slow
140,31.0,F,178.9,80.5,5.0,2.0,159.0,8.0,Experienced,25.2,26.3,23.0,NoUse,Cardio,Vegan,3.7,7.0,35.0,medium
141,56.0,F,159.3,55.3,5.0,8.0,106.0,6.0,Beginner,22.0,26.5,19.5,NoUse,Strength,Omnivore,2.8,3.0,81.0,medium
142,44.0,M,160.6,88.7,6.0,2.0,190.0,7.0,Intermediate,38.2,40.3,19.5,NoUse,Strength,Vegan,2.6,5.0,60.0,medium
143,26.0,M,189.4,104.9,1.0,1.0,227.0,6.0,Experienced,34.0,35.5,15.2,Pre-workout,Cardio,Keto,3.9,8.0,61.0,slow
144,32.0,F,150.2,55.8,5.0,5.0,103.0,9.0,Beginner,22.4,25.9,19.5,Protein,Mixed,Omnivore,3.6,10.0,74.0,medium
145,,M,,,,,262.0,,Intermediate,,,,NoUse,,Vegan,,,,
146,43.0,M,162.3,61.5,7.0,4.0,124.0,7.0,Beginner,25.5,29.2,21.9,Protein,Mixed,Omnivore,2.1,3.0,48.0,slow
147,59.0,F,169.6,71.2,5.0,3.0,152.0,7.0,Beginner,24.9,28.4,27.5,NoUse,Mixed,Omnivore,2.2,2.0,80.0,medium
148,30.0,M,175.1,86.3,2.0,,173.0,,Intermediate,,35.8,10.3,Protein,Cardio,Vegan,3.5,,84.0,medium
149,49.0,F,156.1,46.3,5.0,1.0,85.0,8.0,Experienced,14.4,15.7,20.8,NoUse,Cardio,Omnivore,1.8,5.0,53.0,slow
150,56.0,F,176.9,91.3,1.0,6.0,200.0,7.0,Beginner,40.0,44.1,19.4,Pre-workout,Strength,Omnivore,2.6,10.0,37.0,medium
151,49.0,F,172.4,78.5,3.0,4.0,158.0,8.0,Intermediate,,25.5,26.6,Creatine,Mixed,Vegan,2.5,,41.0,medium
152,21.0,F,160.2,73.5,5.0,9.0,151.0,6.0,Beginner,27.4,31.2,27.5,NoUse,Mixed,Vegetarian,1.6,7.0,68.0,medium
153,47.0,M,171.4,102.1,6.0,4.0,186.0,7.0,Intermediate,42.8,44.3,12.1,NoUse,Mixed,Vegetarian,1.9,3.0,34.0,slow
154,54.0,F,172.1,70.4,4.0,5.0,149.0,9.0,Beginner,23.2,26.9,19.6,NoUse,Strength,Vegetarian,3.4,7.0,48.0,fast
155,40.0,M,193.5,120.0,3.0,4.0,259.0,6.0,Intermediate,59.8,62.1,23.5,NoUse,Strength,Vegan,1.7,10.0,75.0,medium
156,56.0,M,188.6,102.0,3.0,9.0,195.0,8.0,Intermediate,31.6,34.1,19.7,NoUse,Mixed,Omnivore,2.0,2.0,70.0,fast
157,62.0,F,169.2,85.1,6.0,9.0,163.0,6.0,Beginner,26.3,30.1,28.2,NoUse,Mixed,Omnivore,3.8,2.0,48.0,fast
158,32.0,F,156.8,51.5,4.0,2.0,97.0,9.0,Intermediate,17.3,19.0,29.3,NoUse,Cardio,Omnivore,2.6,5.0,67.0,fast
159,60.0,M,194.1,76.1,5.0,10.0,154.0,9.0,Intermediate,34.7,37.1,14.1,NoUse,Mixed,Omnivore,3.8,8.0,55.0,slow
160,46.0,F,172.5,60.2,2.0,1.0,109.0,9.0,Intermediate,25.7,28.0,28.6,Pre-workout,Cardio,Omnivore,3.9,8.0,79.0,fast
161,53.0,F,165.5,53.5,6.0,4.0,99.0,7.0,Beginner,18.3,22.6,16.2,NoUse,Cardio,Omnivore,3.0,5.0,67.0,medium
162,30.0,F,165.3,63.5,1.0,10.0,130.0,9.0,Beginner,23.9,27.7,23.4,Protein,Strength,Vegetarian,2.3,2.0,60.0,fast
163,49.0,M,182.8,70.7,7.0,5.0,141.0,8.0,Beginner,26.7,30.9,23.5,NoUse,Cardio,Omnivore,2.3,2.0,49.0,slow
164,24.0,M,193.1,86.9,3.0,5.0,182.0,6.0,Beginner,40.3,44.7,17.1,NoUse,Mixed,Vegetarian,3.6,3.0,65.0,fast
165,39.0,M,189.7,77.2,6.0,7.0,162.0,7.0,Experienced,27.2,28.3,19.3,NoUse,Mixed,Vegan,2.1,3.0,38.0,medium
166,45.0,M,194.2,103.0,2.0,4.0,203.0,9.0,Experienced,44.3,45.7,10.7,Pre-workout,Cardio,Omnivore,2.7,7.0,63.0,slow
167,19.0,F,165.2,57.9,1.0,2.0,120.0,9.0,Beginner,21.8,25.4,28.1,Creatine,Cardio,Keto,3.2,7.0,64.0,slow
168,59.0,F,168.7,67.3,1.0,4.0,144.0,8.0,Beginner,28.9,33.0,27.2,NoUse,Strength,Keto,3.4,2.0,65.0,medium
169,62.0,M,194.2,80.5,7.0,1.0,164.0,9.0,Experienced,29.1,29.9,21.9,Protein,Strength,Omnivore,1.6,3.0,33.0,fast
170,23.0,M,169.3,79.5,5.0,9.0,174.0,8.0,Beginner,28.2,32.5,18.8,NoUse,Cardio,Omnivore,1.9,6.0,71.0,fast
171,45.0,M,177.8,69.4,6.0,9.0,153.0,6.0,Beginner,25.0,29.1,22.7,NoUse,Mixed,Vegan,2.3,2.0,85.0,slow
172,45.0,M,184.8,73.4,2.0,4.0,147.0,6.0,Beginner,27.9,32.0,18.5,Protein,Cardio,Vegetarian,2.4,8.0,32.0,medium
173,61.0,M,196.6,95.3,6.0,5.0,181.0,9.0,Beginner,36.5,40.0,19.7,NoUse,Mixed,Omnivore,2.0,9.0,68.0,slow
174,,,,,,,,,,,,,Pre-workout,,,,,,
175,37.0,M,168.5,90.4,3.0,9.0,169.0,9.0,Experienced,37.0,38.2,12.7,Creatine,Mixed,Omnivore,3.5,3.0,72.0,fast
176,47.0,M,169.4,98.7,6.0,10.0,208.0,8.0,Beginner,48.6,52.9,13.1,NoUse,Cardio,Omnivore,1.9,9.0,73.0,fast
177,28.0,F,159.8,60.1,5.0,1.0,119.0,6.0,Intermediate,26.0,28.4,24.4,NoUse,Cardio,Keto,3.1,4.0,75.0,medium
178,45.0,F,158.5,54.6,3.0,5.0,115.0,6.0,Intermediate,21.4,23.1,20.4,NoUse,Strength,Omnivore,3.5,10.0,61.0,fast
179,42.0,F,167.7,83.4,6.0,6.0,160.0,7.0,Experienced,36.1,37.5,29.0,Protein,Strength,Keto,2.2,4.0,75.0,medium
180,56.0,M,195.4,98.2,1.0,1.0,195.0,8.0,Experienced,37.8,38.8,23.7,Protein,Mixed,Vegetarian,2.2,4.0,58.0,fast
